12200,1908,1,"-","autoballoon; 'Republique'","Autoballon (L') 'République.' L'Aérophile, 16e année, No. 18 (15 sept. 1908), Paris, pp. 365-366. S (1011"
121840,1897,2,"-","new; advances; aerodynamics","Recent advancement in aerodynamics. Aër. Journ., Vol. 1, No. 4, 1897, London, p. 1. S (10173"
12220,1903,2,"-","automatic; discharge; ballast; balloons","Automatic discharge of ballast for free balloons. Scient. Amer. Suppl., Vol. 55, 1903, New York, p. 22808. S (1013"
121900,1905,2,"-","new; experiments; aeroplanes","Recent experiments with aeroplanes. Aër. Journ., Vol. 9, No. 35, 1905, London, pp. 52-53. S (10179"
12240,1905,1,"-","automatic; flying; Laisnez; Wilfart","Auto-volant (L') de Laisnez et Wilfart. Cosmos, 1905, 2, Paris, pp. 412-413. (1015"
12280,1907,2,"-","aviation; competition; France; contest","Aviatic competitions in France. Ballooning and Aeronautics, Vol. 1, No. 4 (April 1907), London, p. 156, ill. S (1017"
121870,1903,1,"-","new; experiences; aviation","Récentes expériences sur l'aviation. Le Gén. Civ., T. 44, 1903, Paris, pp. 9-10. (10176"
121920,1909,2,"-","new; French; aeroplanes; foreign; performance","Recent French aeroplanes and their performances. Scient. Amer., Vol. 100, No. 26 (June 26, 1909), New York, pp. 481, 487. S (10181"
121910,1908,2,"-","new; foreign; aeroplanes","Recent foreign aeroplanes. Scient. Amer., Vol. 99, No. 8 (Aug. 22, 1908), New York, pp. 124-125, ills. 3. S (10180"
122000,1907,1,"-","reconnaissance; military; photographic; land; sea; balloon","Reconnaissances photographiques militaires à terre, en mer et en ballon. La Conq. l'Air, 4e année, No. 17 (sept. 1907), Bruxelles, pp. 3-4. S (10189"
12330,1908,3,"-","aviation; Aviatik; Paris","Aviatik in Paris. Wien. Luftsch. Zeit., VII Jahrg., Nr. 6 (Juni 1908), Wien, pp. 122-123. S (1019"
