Event name,type,place,Country,year,month,start day,days,"Notes
(* = prominent in lit)",Sources,,
Harvard-Boston Aero Meet ,exh,Boston,US,1910,9,,,*,,,
St. Louis,exh,St. Louis,US,1910,10,,,,,,
Baltimore,exh,Baltimore,US,1910,11,,,,,,
Chattanooga,exh,Chattanooga,US,1910,11,,,,,,
Belmont Park ,exh,Belmont Park (NJ?),US,1910,10,,,*,,,
Berlin Flugwoche,exh,Berlin,De,1910?,,,,7 events ; * ; ,,,
Paris Aero Salon,exh,Paris,Fr,1912,10,25,,"at ""the Grand Palais""",Flightglobal/Archive:  http://www.flightglobal.com/pdfarchive/view/1912/1912%20-%200990.html,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
