"Year filed","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1899,"no","Max Lochner af Charlottenburg",,7212,"Fra 25 juli 1898",,,,"Luftskib.",,1,,,,
1898,"no","F von Zeppelin of Stuttgart",,6789,"Fra 3 januar 1898",,,,"Styrbart luftskib med flere af hinanden uaf hoengige motorer",,1,,,,
1894,"no","Ramiro de Palacios (Steglitz); Wilhelm Goetjes (Berlin)",,3814,"Fra 10 aug 1894",,,,"Fremgangsmade og apparat for luftfart",,1,,,,
1891,"no","Capone, Frederico (Altavilla, Irpina, Italien. )",,2938,"Fra 31 oct 1891",,,"in 1892 volume","Flyvemaskine",,1,,,,
1891,"no","Gabrielii, Georg (Christiana)",,2589,"Fra 10 dec 1891",,,"in 1891 volume","Luftskib.",,1,,,,
1891,"no","Armand le Compagnon (Paris), Zelie Faucillon (Lille); Georges Joseph Prosper Dubois (Lille); Emile Aleide Royaux (le Forest)",,2451,"Fra 21 nov 1891",,,"in 1891 volume","Styrbar luftballon",,1,,,,
1878,"no",0,,,"Resl. Datum: 6 sept 1878","airship",,"""Bekjendtgjort: P.T. 1881, pag. 80.""  see the patent register book (Norske Patenter Udfaerdigende) volume for 1886-and-before, page 375.","Den af ham angivne anordning af luftballoner",,1,"1878/09/06 ?","1882/03/17?",,
1883,"no","Lorenz, Wilhelm",,,,"airship",,"page 119","""swapped with patent 212"".  (meaning unclear)   projectile weapons reference",,1,"1877/03/17?",,,
,,,,,,,,,,,1,,,,
,,,,,,,,,,,1,,,,
,,,,,,,,,,,1,,,,
"1915 book","no","Allgemeine Elektricita[e]ts-Geselleschaft (Berlin).  Local agent Alfred J. Bryn.","K77h",26390,,"Transport Route counters for airplane",,"claims:  Hjelpekjørestel for flyvemaskiner karakterisert ved at skroget og vingerne ved sine bakre ender er avstøttet bevegelig i forhold til hinanden paa en faelles support som er forbundet elastisk og leddet med hjulene resp. deres akser.   In English: ","Transportkjørestel for flyvemaskiner",,1,"1914/11/14","1915/10/25",,
,,,,,,,,,,,1,,,,
,,,,,,,,,,,1,,,,
