Total counts of 1grams for the fre-all corpus. 2009/07/15. The fields, separated by tabs, correspond to the year, the number of 1grams, the number of pages, the number of books.
1886	190831102	554237	1543
1887	211758081	610908	1645
1888	219109713	636551	1727
1889	235875198	664894	1744
1890	207972704	590242	1581
1891	205672070	556761	1505
1892	210581619	581050	1599
1893	223433173	612953	1647
1894	234262669	638739	1711
1895	219707614	603614	1637
1896	241507778	642992	1724
1897	218448420	601750	1635
1898	231174180	645625	1776
1899	213698953	591139	1655
1900	258250383	716308	2016
1901	240130264	649925	1777
1902	237830351	656932	1826
1903	253203371	692161	1975
1904	258192590	719086	2069
1905	262028832	705304	1927
1906	253620389	703338	1989
1907	256016601	714359	2047
1908	285131929	803639	2343
1909	165485697	475628	1362
1910	167010641	480464	1402
1911	172184266	498699	1432
1912	179922666	511172	1426
1913	167513728	481271	1406
1914	132120474	382361	1099
1915	58247638	179529	653
1916	80296991	244143	811
1917	86151950	271270	922
1918	79819626	238714	832
1919	89791930	267673	986
1920	120874177	342442	1064
1921	126395510	357892	1147
1922	131437326	371214	1179
1923	145526536	416565	1327
1924	126596078	362362	1194
1925	142512211	405947	1352
1926	144358014	413199	1370
1927	153725760	419706	1414
1928	144465812	419776	1428
1929	154555119	431638	1394
1930	158812802	445651	1416
1931	155192483	418082	1349
1932	146639316	404277	1208
1933	143036292	381332	1194
1934	135433803	362108	1189
1935	133209368	350277	1121
1936	131952456	357094	1172
1937	121751156	327358	1111
1938	129878643	343059	1175
1939	104629221	276129	956
1940	69217251	188813	661
1941	65812077	188355	737
1942	61286366	174733	730
1943	71404006	194814	793
1944	81987036	220408	810
1945	107411947	310642	1395
1946	145999115	390173	1511
1947	168847410	432191	1553
1948	150452312	397692	1428
1949	143718210	376904	1340
1950	160919759	413864	1438
1951	135643350	344550	1178
1952	138774489	355156	1236
1953	150775507	377000	1321
1954	153639784	388640	1389
1955	165844143	416088	1478
1956	171077896	432545	1511
1957	170748278	431442	1495
1958	190825671	478509	1709
1959	224810655	553784	1852
1960	246812172	604375	2037
1961	252710141	635026	2278
1962	276322965	689444	2512
1963	257492806	641421	2256
1964	252645697	642085	2203
1965	265451634	668156	2274
1966	286595560	723182	2562
1967	333058373	849505	2915
1968	382399920	994045	3446
1969	359413225	940312	3439
1970	346050845	883533	3214
1971	291729276	741075	2642
1972	286824349	715904	2584
1973	290040502	727904	2652
1974	293998865	735113	2592
1975	297842838	749264	2712
1976	311608478	760754	2735
1977	323606843	784472	2881
1978	306680377	764211	2796
1979	319448448	799575	2946
1980	355495371	886455	3211
1981	284134490	700795	2665
1982	305182333	742720	2707
1983	296839571	724277	2864
1984	323667508	782504	3089
1985	305951715	733411	2746
1986	288226363	690384	2666
1987	295726924	696560	2736
1988	313301424	755125	2950
1989	356258470	852132	3385
1990	333968836	786591	3091
1991	324819634	767352	2928
1992	354278818	838806	3247
1993	365295307	857063	3260
1994	357351177	842912	3238
1995	367280339	855936	3275
1996	365867416	852364	3367
1997	411618485	953457	3628
1998	429953667	1001187	3871
1999	482503013	1125673	4357
2000	697260168	1627039	6244
2001	729736897	1727473	6669
2002	742477027	1773159	6935
2003	836248563	1985624	7837
2004	701253612	1663606	6417
2005	755441534	1781203	6850
2006	826872323	1969655	7681
2007	703912079	1707737	6802
2008	590655119	1593895	6224
